Seq,縣市,區別,監測週期,陽性率,總卵粒數
125,67000,67000360,114年第8週,8.97%,326
126,67000,67000350,114年第8週,4.25%,314
127,67000,67000320,114年第8週,0.93%,97
128,67000,67000330,114年第8週,2.48%,247
129,67000,67000010,114年第8週,2.78%,6
130,67000,67000280,114年第8週,11.90%,202
131,67000,67000370,114年第9週,3.75%,408
132,67000,67000270,114年第9週,7.29%,440
133,67000,67000340,114年第9週,2.27%,204
134,67000,67000310,114年第9週,5.62%,512
135,67000,67000360,114年第9週,5.13%,157
136,67000,67000350,114年第9週,5.56%,366
137,67000,67000320,114年第9週,2.22%,207
138,67000,67000330,114年第9週,3.38%,181
139,67000,67000010,114年第9週,4.17%,40
140,67000,67000280,114年第9週,9.52%,147
141,67000,67000370,114年第16週,20.00%,1682
142,67000,67000270,114年第16週,31.77%,2077
143,67000,67000340,114年第16週,14.65%,1451
144,67000,67000310,114年第16週,22.67%,3263
145,67000,67000360,114年第16週,23.72%,1000
146,67000,67000350,114年第16週,29.25%,4543
147,67000,67000320,114年第16週,10.93%,1551
148,67000,67000330,114年第16週,21.17%,2741
149,67000,67000010,114年第16週,11.11%,268
150,67000,67000280,114年第16週,21.43%,474
151,67000,67000370,114年第17週,20.00%,1302
152,67000,67000270,114年第17週,31.77%,1938
153,67000,67000340,114年第17週,13.89%,1281
154,67000,67000310,114年第17週,24.22%,3140
155,67000,67000360,114年第17週,21.79%,987
156,67000,67000350,114年第17週,29.74%,4487
157,67000,67000320,114年第17週,13.52%,1821
158,67000,67000330,114年第17週,19.59%,2191
159,67000,67000010,114年第17週,12.50%,226
160,67000,67000280,114年第17週,14.29%,250
161,67000,67000370,114年第18週,21.25%,1547
162,67000,67000270,114年第18週,39.58%,2772
163,67000,67000340,114年第18週,23.99%,3005
164,67000,67000310,114年第18週,31.40%,4614
165,67000,67000360,114年第18週,27.56%,1259
166,67000,67000350,114年第18週,34.31%,5685
167,67000,67000320,114年第18週,17.78%,2556
168,67000,67000330,114年第18週,23.87%,3154
169,67000,67000010,114年第18週,13.89%,323
170,67000,67000280,114年第18週,19.05%,511
171,67000,67000370,114年第19週,25.00%,1701
172,67000,67000270,114年第19週,31.25%,2377
173,67000,67000340,114年第19週,22.22%,2456
174,67000,67000310,114年第19週,33.91%,4783
175,67000,67000360,114年第19週,28.85%,1273
176,67000,67000350,114年第19週,34.80%,6347
177,67000,67000320,114年第19週,14.26%,1894
178,67000,67000330,114年第19週,22.75%,3041
179,67000,67000010,114年第19週,16.67%,449
180,67000,67000280,114年第19週,27.38%,391
181,67000,67000370,114年第20週,20.00%,1398
182,67000,67000270,114年第20週,28.65%,1563
183,67000,67000340,114年第20週,21.21%,1878
184,67000,67000310,114年第20週,25.39%,2999
185,67000,67000360,114年第20週,28.85%,960
186,67000,67000350,114年第20週,30.07%,4932
187,67000,67000320,114年第20週,16.48%,1830
188,67000,67000330,114年第20週,19.37%,2935
189,67000,67000010,114年第20週,18.06%,380
190,67000,67000280,114年第20週,20.24%,405
191,67000,67000370,114年第21週,31.67%,2349
192,67000,67000270,114年第21週,33.33%,1552
193,67000,67000340,114年第21週,20.20%,2034
194,67000,67000310,114年第21週,25.78%,3640
195,67000,67000360,114年第21週,28.85%,1293
196,67000,67000350,114年第21週,33.99%,5314
197,67000,67000320,114年第21週,18.33%,2496
198,67000,67000330,114年第21週,25.68%,3630
199,67000,67000010,114年第21週,16.67%,399
200,67000,67000280,114年第21週,23.81%,584
201,67000,67000370,114年第22週,34.17%,2969
202,67000,67000270,114年第22週,43.23%,3849
203,67000,67000340,114年第22週,24.75%,2866
204,67000,67000310,114年第22週,30.23%,4970
